"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-03-31,76943,"44017","OH","Cleveland","Cuyahoga","Berea",5347,125200,0.00562248995983936,0.0121261115602264,0.0583262890955199,0.0146827323586107,-0.00728708199877437,"2005-06","2005-Q2",137300,-0.0881281864530226,"2002-10"
2016-03-31,74798,"38372","TN",,"Hardin","Savannah",5348,70000,0.00143061516452074,-0.00568181818181818,0.0769230769230769,0.00700185093180949,0.0198657790027867,"2015-12","2015-Q4",70400,-0.00568181818181818,"2015-11"
2016-03-31,91358,"76310","TX","Wichita Falls","Wichita","Wichita Falls",5349,122500,0,-0.000815660685154976,0.012396694214876,0.00922975291873818,0.00590139502748555,"2007-12","2007-Q4",124900,-0.0192153722978383,"2007-10"
2016-03-31,81988,"54937","WI","Fond du Lac","Fond du Lac","North Fond du Lac",5350,167300,0.000598086124401914,0.000598086124401914,-0.0164609053497942,0.00448285483000976,0.000599701928730934,"2008-09","2008-Q3",178800,-0.0643176733780761,"2008-01"
2016-03-31,62196,"11714","NY","New York","Nassau","Bethpage",5351,416600,0.00313026727666747,0.00749697702539299,0.0261083743842365,0.0227949601540125,-0.0120302120777794,"2006-05","2006-Q2",472900,-0.119052653838021,"2004-11"
2016-03-31,91895,"77385","TX","Houston","Montgomery","Conroe",5352,195500,0.00410888546481767,0.00359342915811088,0.0460139111824505,0.0488785600915482,0.0268465546457037,"2016-03","2016-Q1",195500,0,"2016-03"
2016-03-31,96648,"92106","CA","San Diego","San Diego","San Diego",5353,975000,0.00827300930713547,0.0160483534806169,0.043115438108484,0.057565867194461,0.00570308733484959,"2016-03","2016-Q1",975000,0,"2016-03"
2016-03-31,100380,"99705","AK","Fairbanks","Fairbanks North Star","North Pole",5354,204200,-0.00244259892525647,0.000980392156862745,0.0402445236882323,-0.00690647346976048,-0.00279684402249736,"2008-05","2008-Q2",254000,-0.196062992125984,"2005-08"
2016-03-31,77075,"44223","OH","Akron","Summit","Cuyahoga Falls",5355,135700,0.00221565731166913,0.0104244229337305,0.0390505359877489,0.0177046147192941,-0.00375332381189164,"2007-02","2007-Q1",142800,-0.0497198879551821,"2002-11"
2016-03-31,91278,"76135","TX","Dallas-Fort Worth","Tarrant","Fort Worth",5356,142600,0.00493305144467935,0.0178443968593862,0.0893812070282659,0.0659871120177811,0.020071235874527,"2016-03","2016-Q1",142600,0,"2016-03"
2016-03-31,77042,"44142","OH","Cleveland","Cuyahoga","Brook Park",5357,105600,0.00475737392959087,0.00380228136882129,0.0853031860226105,0.00209645446755702,-0.019664328709613,"2005-08","2005-Q3",130800,-0.192660550458716,"1998-06"
2016-03-31,60850,"07871","NJ","New York","Sussex","Sparta",5358,320200,-0.000312207305650952,-0.00342359165888578,0.0152187698161065,-0.00425494874169119,-0.0257875300398147,"2006-05","2006-Q2",419300,-0.236346291438111,"2003-06"
2016-03-31,90650,"75048","TX","Dallas-Fort Worth","Dallas","Sachse",5359,231300,0.0118110236220472,0.0433017591339648,0.142222222222222,0.078386618035637,0.0264816057131951,"2016-03","2016-Q1",231300,0,"2016-03"
2016-03-31,84381,"60130","IL","Chicago","Cook","Forest Park",5360,179700,-0.0115511551155116,0.00503355704697987,0.123125,0.00394156366776732,-0.0248423925185229,"2007-01","2007-Q1",239200,-0.248745819397993,"2003-06"
2016-03-31,90789,"75237","TX","Dallas-Fort Worth","Dallas","Dallas",5361,126600,0.0111821086261981,0.0217917675544794,0.125333333333333,0.076922509660452,0.000952841816731276,"2006-12","2006-Q4",132900,-0.0474040632054176,"2006-04"
2016-03-31,87236,"66605","KS","Topeka","Shawnee","Topeka",5362,63100,-0.00786163522012579,-0.0277349768875193,-0.0468277945619335,-0.028727036484179,,"2008-08","2008-Q3",102800,-0.386186770428016,
2016-03-31,69434,"27591","NC","Raleigh","Wake","Wendell",5363,146000,0.00412654745529574,0.0138888888888889,0.0391459074733096,0.0299033294679067,0.0146002161957968,"2016-03","2016-Q1",146000,0,"2016-03"
2016-03-31,70416,"29341","SC","Gaffney","Cherokee","Gaffney",5364,86900,-0.00685714285714286,-0.0147392290249433,-0.0301339285714286,0.00753203509664901,0.0104755311053699,"2015-04","2015-Q2",90000,-0.0344444444444444,"2015-01"
2016-03-31,79684,"49316","MI","Grand Rapids","Kent","Gaines Township",5365,223100,0.0035987404408457,0.00540784136998648,0.0644083969465649,0.0552492141160585,0.00903965550271058,"2016-03","2016-Q1",223100,0,"2016-03"
2016-03-31,96270,"91010","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Duarte",5366,431200,0.00116090085906664,-0.00415704387990762,-0.0146252285191956,0.0654232335475495,-0.00509542930774309,"2006-08","2006-Q3",473000,-0.0883720930232558,"2005-08"
2016-03-31,99075,"97103","OR","Astoria","Clatsop","Astoria",5367,231100,0.00741063644289451,0.0303165403477486,0.150896414342629,0.0323397836832724,0.00781130214186843,"2007-11","2007-Q4",239100,-0.0334588038477624,"2006-11"
2016-03-31,62645,"12534","NY","Hudson","Columbia","Hudson",5368,159800,-0.00249687890137328,-0.000625390869293308,0.0437622468974526,0.0121987292499426,-0.00898849463834805,"2006-09","2006-Q3",179400,-0.109253065774805,"2005-03"
2016-03-31,78774,"47834","IN","Terre Haute","Clay","Brazil",5369,93800,0.00106723585912487,-0.00424628450106157,0.0330396475770925,0.0325978389610568,0.00270505892843698,"2005-07","2005-Q3",100700,-0.0685203574975174,"2004-07"
2016-03-31,98410,"95746","CA","Sacramento","Placer","Granite Bay",5370,669200,-0.000298775022408127,0.00450315220654458,0.0262229719368195,0.0570842316865274,-0.0186349548897743,"2006-02","2006-Q1",814400,-0.178290766208251,"2004-06"
