"zip","city","latitude","longitude","QoQ","YoY","MoM","price"
98660,"Vancouver",45.652255,-122.69009,0.0203000882612533,0.101476893758933,0.00609225413402959,218
98661,"Vancouver",45.63873,-122.62846,0.0282935455349248,0.120423892100193,0.00867302688638335,169
98662,"Vancouver",45.671806,-122.57894,0.0242759795570698,0.111367837338262,0.00711892797319933,152
98663,"Vancouver",45.647667,-122.66162,0.0279424216765453,0.128777312877731,0.0078870900788709,190
98664,"Vancouver",45.62104,-122.57947,0.0353642948444823,0.134983652498832,0.00997506234413965,176
98665,"Vancouver",45.681271,-122.66712,0.0218068535825545,0.117546848381601,0.00613496932515337,163
98671,"Washougal",45.594465,-122.28112,0.022793878215565,0.113829787234043,0.00576368876080692,174
98674,"Woodland",45.928662,-122.70284,0.020415603353992,0.092079594225517,0.00719683339330694,157
98675,"Yacolt",45.843674,-122.39221,0.0209440450140669,0.130103806228374,0.00616142945163278,179
98682,"Vancouver",45.67309,-122.51319,0.0221479314667781,0.104787714543812,0.00575657894736842,162
98683,"Vancouver",45.604075,-122.51035,0.0228187919463087,0.100758396533044,0.00627269725982172,171
98684,"Vancouver",45.627459,-122.52023,0.0239253852392539,0.111845002201673,0.00717989629038692,162
98685,"Vancouver",45.709555,-122.68473,0.0211640211640212,0.0919377652050919,0.00684708183893055,163
98686,"Vancouver",45.712623,-122.63419,0.0255813953488372,0.106848332735748,0.00816459830176355,166
98801,"Wenatchee",47.425497,-120.32881,0.00128865979381443,0.0933395872420263,0.00128865979381443,164
98815,"Cashmere",47.522546,-120.48966,0.00460829493087558,0.0724508050089445,0.00376726663876099,177
98822,"Entiat",47.782158,-120.35944,-0.0256410256410256,0.0107416879795396,-0.00151591712986357,178
98823,"Ephrata",47.297368,-119.57129,0.0105691056910569,0.0687876182287188,0,90
98826,"Leavenworth",47.728186,-120.73874,-0.0210124164278892,0.0315330426031533,-0.00453221107154419,255
98828,"Malaga",47.333821,-120.19929,-0.0124058484714222,0.0873170731707317,-0.00357621814930711,164
98831,"Manson",47.915227,-120.12934,-0.0188562596599691,0.0576474508497168,-0.00967238689547582,242
98837,"Moses Lake",47.133606,-119.28455,-0.00148809523809524,0.0323076923076923,0,94
98847,"Peshastin",47.552462,-120.60457,-0.00929054054054054,0.0736842105263158,-0.000851788756388416,193
98848,"Quincy",47.18227,-119.85868,-0.00256410256410256,0.0408026755852843,-0.00192431045542014,108
98851,"Soap Lake",47.400024,-119.4624,0.0142517814726841,0.0351515151515151,0.00352526439482961,82
98856,"Twisp",48.359904,-120.13051,0.0087527352297593,0.149625935162095,0.00260983036102653,190
98857,"Warden",46.970666,-119.0672,-0.0125391849529781,-0.0540540540540541,-0.0125391849529781,67
98862,"Winthrop",48.488543,-120.24261,-0.00493358633776091,0.0371835443037975,0.00306044376434583,205
98901,"Yakima",46.616199,-120.46481,0.00777934936350778,0.0462555066079295,0.00210970464135021,103
98902,"Yakima",46.595248,-120.53102,0.0125490196078431,0.0411290322580645,0.0046692607003891,109
98903,"Yakima",46.550348,-120.62097,0.00265076209410205,0.0662438336856942,0,111
98908,"Yakima",46.605303,-120.61762,0.0113412228796844,0.0469627360898418,0.00244379276637341,127
98922,"Cle Elum",47.19377,-120.91733,0.0873860182370821,0.22203245089667,0.0483516483516484,193
98926,"Ellensburg",47.009726,-120.52364,0.015774378585086,0.10275038920602,0.00283152430391694,142
98930,"Grandview",46.260129,-119.90614,0.0249056603773585,0.0837988826815642,0.00592592592592593,103
98932,"Granger",46.345166,-120.1843,0,0.04,-0.00166944908180301,90
98935,"Mabton",46.177732,-120.02966,0.0245971162001696,0.0863309352517986,0.00666666666666667,90
98936,"Moxee",46.540842,-120.33322,0.00730337078651685,0.0454810495626822,0.000558035714285714,106
98937,"Naches",46.71207,-120.97097,0.0137509549274255,0.0432389937106918,0.0053030303030303,122
98938,"Outlook",46.364164,-120.09871,0.0223503965392934,0.0457227138643068,0.0063875088715401,95
98941,"Roslyn",47.224876,-120.99286,-0.0550401978973408,0.00858085808580858,-0.00195950359242325,133
98942,"Selah",46.726395,-120.56997,0.00957661290322581,0.0454070981210856,0.00401002506265664,129
98944,"Sunnyside",46.342102,-119.99,0.0104,0.0472636815920398,0.00317712470214456,94
98947,"Tieton",46.707735,-120.75713,-0.0094658553076403,0.0209059233449477,-0.00340136054421769,108
98948,"Toppenish",46.35653,-120.33462,0.0164383561643836,0.0579847908745247,0.0018001800180018,87
98951,"Wapato",46.457731,-120.46721,0.0130111524163569,0.0613437195715677,0.00553505535055351,83
98953,"Zillah",46.418933,-120.26699,0.000608642726719416,0.0236612702366127,0.00182815356489945,113
99001,"Airway Heights",47.642922,-117.59149,0.0120562625586068,0.113485630066323,0.00332005312084993,108
99003,"Chattaroy",47.921687,-117.29378,0.00708162504658964,0.0730738681493249,0.0037147102526003,153
99004,"Cheney",47.466974,-117.60575,0.0123589468027942,0.0735042735042735,0.00266098988823842,117
99005,"Colbert",47.844289,-117.37274,0.018646408839779,0.0766423357664234,0.00716968248548993,157
99006,"Deer Park",47.966471,-117.48145,0.0140070035017509,0.104030501089325,0.00247279920870425,132
99009,"Elk",48.041663,-117.24891,0.014018691588785,0.111111111111111,0.004164738546969,133
99016,"Greenacres",47.648693,-117.15116,0.0178236397748593,0.0694923607688517,0.00323624595469256,139
99019,"Liberty Lake",47.656171,-117.08628,0.017632241813602,0.0663650075414781,0.00712250712250712,152
99021,"Mead",47.81108,-117.22306,0.0168350168350168,0.0824372759856631,0.00499168053244592,140
99022,"Medical Lake",47.583754,-117.68812,0.0166666666666667,0.0523289246693502,0.00328947368421053,117
99025,"Newman Lake",47.751434,-117.06934,0.00942507068803016,0.0656716417910448,0.00280898876404494,149
99027,"Otis Orchards",47.703698,-117.12007,0.0279598077763215,0.0768878718535469,0.00770877944325482,143
99037,"Veradale",47.643346,-117.19993,0.00936246098974588,0.0714623757690487,0.00221336874723329,133
99133,"Grand Coulee",47.947097,-119.00713,0.0036231884057971,0.0992063492063492,0,71
99201,"Spokane",47.663945,-117.43185,0.0207125103562552,0.0854625550660793,0.00735895339329518,94
99202,"Spokane",47.656692,-117.37899,0.0163265306122449,0.0714285714285714,0.00565428109854604,103
99203,"Spokane",47.629091,-117.40636,0.00553505535055351,0.0754810064134188,0.00137804317868627,153
